Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
E0,14/09/2019,15:00,Wolves,Chelsea,2,5,A,0,3,A,G Scott
E0,14/09/2019,17:30,Norwich,Man City,3,2,H,2,1,H,K Friend
E0,15/09/2019,14:00,Bournemouth,Everton,3,1,H,1,1,D,P Tierney
E0,15/09/2019,16:30,Watford,Arsenal,2,2,D,0,2,A,A Taylor
E0,16/09/2019,20:00,Aston Villa,West Ham,0,0,D,0,0,D,M Dean
E0,20/09/2019,20:00,Southampton,Bournemouth,1,3,A,0,2,A,C Kavanagh
E0,21/09/2019,12:30,Leicester,Tottenham,2,1,H,0,1,A,P Tierney
E0,21/09/2019,15:00,Burnley,Norwich,2,0,H,2,0,H,D Coote
E0,21/09/2019,15:00,Everton,Sheffield United,0,2,A,0,1,A,S Hooper
E0,21/09/2019,15:00,Man City,Watford,8,0,H,5,0,H,M Dean
E0,21/09/2019,17:30,Newcastle,Brighton,0,0,D,0,0,D,M Atkinson
E0,22/09/2019,14:00,Crystal Palace,Wolves,1,1,D,0,0,D,S Attwell
E0,22/09/2019,14:00,West Ham,Man United,2,0,H,1,0,H,A Taylor
E0,22/09/2019,16:30,Arsenal,Aston Villa,3,2,H,0,1,A,J Moss
E0,22/09/2019,16:30,Chelsea,Liverpool,1,2,A,0,2,A,M Oliver
E0,28/09/2019,12:30,Sheffield United,Liverpool,0,1,A,0,0,D,A Taylor
E0,28/09/2019,15:00,Aston Villa,Burnley,2,2,D,1,0,H,L Mason
E0,28/09/2019,15:00,Bournemouth,West Ham,2,2,D,1,1,D,S Attwell
E0,28/09/2019,15:00,Chelsea,Brighton,2,0,H,0,0,D,C Kavanagh
E0,28/09/2019,15:00,Crystal Palace,Norwich,2,0,H,1,0,H,J Moss
E0,28/09/2019,15:00,Tottenham,Southampton,2,1,H,2,1,H,G Scott
E0,28/09/2019,15:00,Wolves,Watford,2,0,H,1,0,H,P Tierney
E0,28/09/2019,17:30,Everton,Man City,1,3,A,1,1,D,M Oliver
E0,29/09/2019,16:30,Leicester,Newcastle,5,0,H,1,0,H,C Pawson
E0,30/09/2019,20:00,Man United,Arsenal,1,1,D,1,0,H,K Friend
E0,05/10/2019,12:30,Brighton,Tottenham,3,0,H,2,0,H,J Moss
E0,05/10/2019,15:00,Burnley,Everton,1,0,H,0,0,D,G Scott
E0,05/10/2019,15:00,Liverpool,Leicester,2,1,H,1,0,H,C Kavanagh
E0,05/10/2019,15:00,Norwich,Aston Villa,1,5,A,0,2,A,A Madley
E0,05/10/2019,15:00,Watford,Sheffield United,0,0,D,0,0,D,A Marriner
E0,05/10/2019,17:30,West Ham,Crystal Palace,1,2,A,0,0,D,M Oliver
E0,06/10/2019,14:00,Arsenal,Bournemouth,1,0,H,1,0,H,M Atkinson
E0,06/10/2019,14:00,Man City,Wolves,0,2,A,0,0,D,C Pawson
